DOOM Eternal: The Ancient Gods - Part One (Add-On) (English/Chinese/Korean Ver.),"Rp 139,000"
Digital Deluxe Upgrade (English),Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalogue
DOOM Eternal: The Ancient Gods - Part Two (Add-On) (English/Chinese/Korean Ver.),"Rp 139,000"
DOOM Eternal: Year One Pass (Add-On) (Add-On),"Rp 139,000"
DOOMicorn Master Collection Cosmetic Pack (English/Chinese/Korean Ver.),"Rp 111,600"
Mullet Slayer Master Collection Cosmetic Pack (English/Chinese/Korean Ver.),"Rp 111,600"
The Ancient Gods Part Two - PS5 Upgrade (English/Chinese/Korean Ver.),"Rp 429,000"
"Conan Exiles - 1,200 Crom Coins (English/Chinese/Korean Ver.)",Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalogue
"Conan Exiles - 2,640 Crom Coins (English/Chinese/Korean Ver.)","Rp 139,000"
"Conan Exiles - 5,040 Crom Coins (English/Chinese/Korean Ver.)","Rp 279,000"
"Conan Exiles - 7,800 Crom Coins (English/Chinese/Korean Ver.)","Rp 479,000"
Conan Exiles - Architects of Argos Pack (English/Chinese/Korean/Japanese Ver.),"Rp 699,000"
Conan Exiles – Blood and Sand Pack (English/Chinese/Korean/Japanese Ver.),"Rp 139,000"
Conan Exiles - Debaucheries of Derketo Pack (English/Chinese/Korean/Japanese Ver.),"Rp 139,000"
Conan Exiles: Isle of Siptah (English/Chinese/Korean/Japanese Ver.),"Rp 139,000"
Conan Exiles - Jewel of the West Pack (English/Chinese/Korean/Japanese Ver.),"Rp 279,000"
"Watch Dogs: Legion PS4 - 1,100 WD Credits (English/Chinese/Korean/Japanese Ver.)",Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalogue
Conan Exiles - People of the Dragon Pack (English/Chinese/Korean Ver.),"Rp 139,000"
Conan Exiles - Riders of Hyboria Pack (English/Chinese/Korean/Japanese Ver.),"Rp 139,000"
"Watch Dogs: Legion PS4 - 2,500 WD Credits (English/Chinese/Korean/Japanese Ver.)",Save 85%
"Watch Dogs: Legion PS4 - 4,550 WD Credits (English/Chinese/Korean/Japanese Ver.)",Save 80%
Conan Exiles - Seekers of the Dawn Pack (English/Chinese/Korean/Japanese Ver.),"Rp 139,000"
Conan Exiles - The Imperial East Pack (English/Chinese/Korean/Japanese Ver.),"Rp 139,000"
Watch Dogs: Legion PS4 - 500 WD Credits Pack (English/Chinese/Korean/Japanese Ver.),"Rp 99,000"
"Watch Dogs: Legion PS4 - 7,250 WD Credits (English/Chinese/Korean/Japanese Ver.)","Rp 205,000"
Conan Exiles - The Riddle of Steel (English/Chinese/Korean/Japanese Ver.),"Rp 139,000"
Conan Exiles - The Savage Frontier Pack (English/Chinese/Korean/Japanese Ver.),"Rp 97,000"
Conan Exiles - Treasures of Turan Pack  (English/Chinese/Korean/Japanese Ver.),"Rp 139,000"
Watch Dogs: Legion - Season Pass (English/Chinese/Korean/Japanese Ver.),"Rp 359,000"
Conan Exiles - Year 1 DLC Bundle (English/Chinese/Korean/Japanese Ver.),"Rp 139,000"
Conan Exiles - Year 2 DLC Bundle (English/Chinese/Korean/Japanese Ver.),"Rp 429,000"
Horizon Forbidden West™: Burning Shores (English/Chinese/Korean Ver.),Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalogue
Lonely Mountains: Downhill - Eldfjall Island (English/Chinese/Korean/Japanese Ver.),Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalogue
Lonely Mountains: Downhill - Misty Peak (English/Chinese/Korean Ver.),"Rp 139,000"
Lonely Mountains: Downhill - Redmoor Falls (English/Chinese/Korean Ver.),Free
Lonely Mountains: Downhill - Riley's Return (English/Chinese/Korean Ver.),Free
Lonely Mountains: Downhill - Rivera's Revenge (English/Chinese/Korean Ver.),Free
Badass Santa Bundle  (English/Chinese/Korean Ver.),Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalogue
Deus Ex: Mankind Divided - 10000 Credits Pack (English Ver.),Save 85%
Clot Backpack Bundle (English/Chinese/Korean Ver.),"Rp 139,000"
D.A.R. Assault Bundle  (English/Chinese/Korean Ver.),"Rp 69,000"
Dragon & Koi Complete Weapon Skin Set (English/Chinese/Korean Ver.),"Rp 69,000"
Deus Ex: Mankind Divided - 1000 Credits Pack (Virtual Currency),Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalogue
Deus Ex: Mankind Divided - 100 Breach Chipsets (Add-On),Save 85%
Deus Ex: Mankind Divided - 10 Breach Chipsets (Add-On),"Rp 139,000"
Dragon & Koi Tier 1 Weapon Skin Bundle (English/Chinese/Korean Ver.),"Rp 279,000"
Dragon & Koi Tier 4 Weapon Skin Bundle (English/Chinese/Korean Ver.),"Rp 86,000"
Foster's Favorites Weapon Skin Pack (English/Chinese/Korean Ver.),"Rp 86,000"
Deus Ex: Mankind Divided - 10 Praxis Kit Pack (Add-On),"Rp 13,000"
Deus Ex: Mankind Divided - 15000 Credits Pack (English Ver.),"Rp 100,000"
The Forsaken - Challenge Map (Add-On),Save 85%
2022 AMA Pro Motocross Championship (English/Chinese/Korean/Japanese Ver.),Save 45%
Gravity Imploder Weapon Bundle (English/Chinese/Korean Ver.),"Rp 86,000"
Hazmat Suit Bundle (English/Chinese/Korean Ver.),"Rp 139,000"
Deus Ex: Mankind Divided - 1 Praxis Kit Pack (Add-On),"Rp 13,000"
Deus Ex: Mankind Divided - 5000 Credits Pack (English Ver.),"Rp 93,000"
Deus Ex: Mankind Divided - 500 Breach Chipsets (Add-On),"Rp 133,000"
Thief - Booster Pack: Ghost (Add-On),Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalogue
Thief - Booster Pack: Opportunist (Add-On),Save 85%
2023 AMA Pro Motocross Championship (English/Chinese/Korean/Japanese Ver.),Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalogue
MX vs ATV Legends 2022 Track Pass (English/Chinese/Korean/Japanese Ver.),Save 45%
Headshot FX Bundle 1  (English/Chinese/Korean Ver.),"Rp 69,000"
Headshot FX Bundle 2  (English/Chinese/Korean Ver.),"Rp 99,000"
Horzine Mark 7 Suit Bundle (English/Chinese/Korean Ver.),"Rp 114,000"
Deus Ex: Mankind Divided - 50 Breach Chipsets (Add-On),"Rp 13,000"
Deus Ex: Mankind Divided -  A Criminal Past (Add-On),"Rp 60,000"
Deus Ex: Mankind Divided - Assault Pack (Add-On),"Rp 399,000"
Thief - Booster Pack: Predator (Add-On),"Rp 69,000"
Thief - Booster Packs Bundle (Add-On),"Rp 15,000"
Thief - The Bank Heist (Add-On),"Rp 15,000"
MX vs ATV Legends - 2022 Yamaha Pack (English/Chinese/Korean/Japanese Ver.),Save 45%
MX vs ATV Legends 2023 Track Pass (English/Chinese/Korean/Japanese Ver.),"Rp 279,000"
MX vs ATV Legends - GASGAS Pack 2023 (English/Chinese/Korean/Japanese Ver.),"Rp 279,000"
Horzine Supply Cosmetic Crate - Series 6 Bronze Bundle Pack (English/Chinese/Korean Ver.),"Rp 69,000"
Horzine Supply Cosmetic Crate - Series 8 Bronze Bundle Pack (English/Chinese/Korean Ver.),"Rp 139,000"
Deus Ex: Mankind Divided - Season Pass (Add-On),"Rp 60,000"
Deus Ex: Mankind Divided -  System Rift (Add-On),"Rp 147,000"
MX vs ATV Legends - Honda Pack (English/Chinese/Korean/Japanese Ver.),"Rp 349,000"
MX vs ATV Legends - Husqvarna Pack (English/Chinese/Korean/Japanese Ver.),"Rp 111,000"
Horzine Supply Weapon Crate - Series 16 Gold Bundle Pack (English/Chinese/Korean Ver.),"Rp 139,000"
Horzine Supply Weapon Crate - Series 17 Silver Bundle Pack (English/Chinese/Korean Ver.),"Rp 429,000"
Deus Ex: Mankind Divided - Tactical Pack (Add-On),"Rp 66,000"
MX vs ATV Legends - Kawasaki Pack (English/Chinese/Korean/Japanese Ver.),"Rp 349,000"
MX vs ATV Legends - KTM Pack (English/Chinese/Korean/Japanese Ver.),"Rp 74,000"
MX vs ATV Legends - Polaris Pack (English/Chinese/Korean/Japanese Ver.),"Rp 99,000"
Horzine Supply Weapon Crate - Series 5 Silver Bundle Pack (English/Chinese/Korean Ver.),"Rp 279,000"
Horzine Supply Weapon Crate - Series 7 Bronze Bundle Pack (English/Chinese/Korean Ver.),"Rp 279,000"
MX vs ATV Legends - Slayground (English/Chinese/Korean/Japanese Ver.),"Rp 69,000"
MX vs ATV Legends - Suzuki Pack (English/Chinese/Korean/Japanese Ver.),"Rp 69,000"
"Grand Theft Auto: The Trilogy – The Definitive Edition (PS5 & PS4) (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 829,000"
Horzine Supply Weapon Crate - Series 8 Bronze Bundle Pack (English/Chinese/Korean Ver.),"Rp 139,000"
KF2 Season Pass 2021 (English/Chinese/Korean Ver.),"Rp 139,000"
MX vs ATV Legends - Throwback Tracks (English/Chinese/Korean/Japanese Ver.),"Rp 74,000"
Supercross World Tour 2022 (English/Chinese/Korean/Japanese Ver.),"Rp 37,000"
GTA+ (PlayStation®5) (English/Chinese/Korean Ver.),"Rp 85,000"
GTA+: Megalodon Shark Cash Card (PS5™) (English/Chinese/Korean Ver.),"Rp 1,141,000"
GTA+: Whale Shark Cash Card (PS5™) (English/Chinese/Korean Ver.),"Rp 515,000"
Killing Floor 2 - Alchemist Gear Cosmetic Bundle Pack (English/Chinese/Korean Ver.),"Rp 429,000"
Killing Floor 2 - Alchemist Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 138,000"
GTA+: Great White Shark Cash Card (PS5™) (English/Chinese/Korean Ver.),"Rp 206,000"
GTA+: Bull Shark Cash Card (PS5™) (English/Chinese/Korean Ver.),"Rp 103,000"
Killing Floor 2 - Apocalypse Gear Cosmetic Bundle (English/Chinese/Korean Ver.),"Rp 114,000"
Killing Floor 2 - Armory Season Pass 2 (English/Chinese/Korean Ver.),"Rp 114,000"
Killing Floor 2  - Beyond Horizon MKII Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 279,000"
GTA+: Tiger Shark Cash Card (PS5™) (English/Chinese/Korean Ver.),"Rp 52,000"
"Dead Space (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 1,009,000"
Killing Floor 2 - Blood & Bonfires Weapon Bundle (English/Chinese/Korean Ver.),"Rp 114,000"
Killing Floor 2 - Blood Sickle Weapon Bundle (English/Chinese/Korean Ver.),"Rp 199,000"
Killing Floor 2 - Blunderbuss Weapon Bundle (English/Chinese/Korean Ver.),"Rp 139,000"
"Need for Speed™ Unbound (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 1,009,000"
NHL® 23 PS4™ (English),"Rp 849,000"
Killing Floor 2 - Cardboard Knight Uniform Bundle (English/Chinese/Korean Ver.),"Rp 139,000"
Killing Floor 2 - Chameleon MKIII Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 69,000"
NHL® 23 PS5™ (English),"Rp 1,009,000"
"F1® 22  PS5™ (Simplified Chinese, English, Japanese)","Rp 1,009,000"
Madden NFL 23 PS4™ (English),"Rp 849,000"
Killing Floor 2  - Chameleon MKII Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 69,000"
Killing Floor2 - Chameleon MKIV Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 69,000"
Madden NFL 23 PS5™ (English),"Rp 1,009,000"
"Battlefield™ 2042 PS4™ (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 849,000"
Killing Floor 2  - Chameleon Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 69,000"
Killing Floor 2  - Chemical Warrior Gear Cosmetic Bundle (English/Chinese/Korean Ver.),"Rp 69,000"
"Battlefield™ 2042 PS5™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 1,009,000"
EA Play 1 Month Discount Offer,"Rp 15,000"
Killing Floor 2  - Chop Til' You Drop Full Gear Bundle (English/Chinese/Korean Ver.),"Rp 69,000"
Killing Floor 2 - Christmas 2020 Full Gear Bundle (English/Chinese/Korean Ver.),"Rp 199,000"
Killing Floor 2  - Christmas Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 199,000"
"GRID Legends PS4 & PS5 (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 169,800"
WRC (English),"Rp 709,000"
"UFC® 5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 1,009,000"
Killing Floor 2  - Classic MKII Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 114,000"
Killing Floor 2  - Classic Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 69,000"
"UFC® 5 Deluxe Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 1,409,000"
NHL® 24 PS5™ (English),"Rp 1,009,000"
NHL® 24 PS4™ (English),"Rp 849,000"
Killing Floor 2 - Commando Chicken Bundle (English/Chinese/Korean Ver.),"Rp 69,000"
Killing Floor 2 - Compound Bow (English/Chinese/Korean Ver.),"Rp 69,000"
NHL® 24 X-Factor Edition PS5™ & PS4™ (English),"Rp 1,409,000"
"EA SPORTS FC™ 24 Standard Edition PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 1,009,000"
Killing Floor 2 - Corrupter Carbine Weapon Bundle (English/Chinese/Korean Ver.),"Rp 139,000"
Killing Floor 2  - Cosmetics Season Pass (English/Chinese/Korean Ver.),"Rp 139,000"
"EA SPORTS FC™ 24 Ultimate Edition PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 1,409,000"
Killing Floor 2 - Cyberpunk Outfit Bundle (English/Chinese/Korean Ver.),"Rp 429,000"
Killing Floor 2 - Day of the Zed Character Outfit Set (English/Chinese/Korean Ver.),"Rp 69,000"
Madden NFL 24 (English),"Rp 1,009,000"
"F1® 23 (Simplified Chinese, English, Japanese)","Rp 1,009,000"
"F1® 23 Champions Edition (Simplified Chinese, English, Japanese)","Rp 507,600"
Killing Floor 2  - Day of the Zed Full Gear Bundle (English/Chinese/Korean Ver.),"Rp 69,000"
Killing Floor 2 - Day of the Zed Weapon Bundle (English/Chinese/Korean Ver.),"Rp 199,000"
Killing Floor 2 - Deep Sea Explorer Outfit Bundle (English/Chinese/Korean Ver.),"Rp 199,000"
EA SPORTS FC™ 24,"Rp 1,479,000"
Marvel’s Spider-Man 2,"Rp 510,000"
eFootball™ 2024,"Rp 1,329,000"
Call of Duty®,"Rp 1,579,000"
NBA 2K24,"Rp 1,029,000"
Genshin Impact 3rd Anniversary,"Rp 999,000"
Alan Wake 2,"Rp 1,329,000"
Fortnite,"Rp 879,000"
"HITMAN World of Assassination (Simplified Chinese, English, Traditional Chinese)","Rp 399,600"
Roblox,"Rp 1,070,000"
UFC® 5,"Rp 1,039,000"
"HITMAN World of Assassination (Simplified Chinese, English, Traditional Chinese)","Rp 399,600"
HITMAN World of Assassination Deluxe Pack (Add-On),"Rp 300,300"
HITMAN 3 - Makeshift Pack (English/Chinese Ver.),"Rp 48,300"
Marvel’s Spider-Man 2,"Rp 449,000"
Call of Duty®,Free
Alan Wake 2,Free
Sarajevo Six Campaign Pack (English/Chinese Ver.),"Rp 48,300"
HITMAN 3 - Street Art Pack (English/Chinese Ver.),"Rp 48,300"
Trinity Pack (English/Chinese Ver.),"Rp 48,300"
Roblox,Free
UFC® 5,Free
STAR OCEAN THE SECOND STORY R,Free
"Wo Long: Fallen Dynasty (PS4 & PS5) (Simplified Chinese, English, Traditional Chinese)","Rp 582,900"
"Wo Long: Fallen Dynasty Digital Deluxe Edition (PS4 & PS5) (Simplified Chinese, English, Traditional Chinese)","Rp 872,340"
Wo Long: Fallen Dynasty Season Pass (Add-On),"Rp 324,000"
Honkai: Star Rail,Free
RoboCop: Rogue City,Free
HOT WHEELS UNLEASHED™ 2 - Turbocharged,Free
"Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles PS4＆PS5 (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 399,500"
WRC,Free
My Time at Sandrock,Free
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Sound Ultimate Edition PS4™ & PS5® (Game),Free
Nama Game,Harga Game
"Rogue Legacy 2 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 349,000"
"Inscryption (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
Deus Ex: Mankind Divided (Game),"Rp 102,000"
"Killing Floor 2 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
"Lonely Mountains: Downhill (Simplified Chinese, English, Korean, Japanese)","Rp 279,000"
"Ratchet & Clank: Rift Apart (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 1,029,000"
"Horizon Forbidden West™ (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 579,000"
"Horizon Forbidden West™ (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 729,000"
"Hundred Days - Winemaking Simulator (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
"Carto (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
"Dodgeball Academia (Simplified Chinese, English, Japanese)","Rp 349,000"
"The Wild at Heart (Simplified Chinese, English, Korean, Japanese)","Rp 349,000"
Thief (Game),"Rp 52,350"
"MX vs ATV Legends (Simplified Chinese, English, Korean, Japanese)","Rp 318,450"
"HUMANITY (English, Japanese)","Rp 429,000"
"Watch Dogs: Legion PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 749,000"
"Watch Dogs: Legion PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 112,350"
"UNCHARTED: Legacy of Thieves Collection (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 729,000"
"ELEX II PS4 & PS5 (Simplified Chinese, English, Japanese)","Rp 373,050"
"Conan Exiles (Simplified Chinese, English, Korean)","Rp 699,000"
"Kena: Bridge of Spirits PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 579,000"
Dishonored 2 (English/Chinese Ver.),"Rp 85,800"
TOMB RAIDER DEFINITIVE EDITION full game (English/Chinese/Korean Ver.),"Rp 74,750"
"DOOM Eternal Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 532,000"
Nama Game,Harga Game
"Rogue Legacy 2 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 349,000"
"Inscryption (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
Deus Ex: Mankind Divided (Game),"Rp 102,000"
"Killing Floor 2 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
"Lonely Mountains: Downhill (Simplified Chinese, English, Korean, Japanese)","Rp 279,000"
"Ratchet & Clank: Rift Apart (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 1,029,000"
"Horizon Forbidden West™ (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 579,000"
"Horizon Forbidden West™ (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 729,000"
"Hundred Days - Winemaking Simulator (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
"Carto (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
"Dodgeball Academia (Simplified Chinese, English, Japanese)","Rp 349,000"
"The Wild at Heart (Simplified Chinese, English, Korean, Japanese)","Rp 349,000"
Thief (Game),"Rp 52,350"
"MX vs ATV Legends (Simplified Chinese, English, Korean, Japanese)","Rp 318,450"
"HUMANITY (English, Japanese)","Rp 429,000"
"Watch Dogs: Legion PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 749,000"
"Watch Dogs: Legion PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 112,350"
"UNCHARTED: Legacy of Thieves Collection (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 729,000"
"ELEX II PS4 & PS5 (Simplified Chinese, English, Japanese)","Rp 373,050"
"Conan Exiles (Simplified Chinese, English, Korean)","Rp 699,000"
"Kena: Bridge of Spirits PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 579,000"
Dishonored 2 (English/Chinese Ver.),"Rp 85,800"
TOMB RAIDER DEFINITIVE EDITION full game (English/Chinese/Korean Ver.),"Rp 74,750"
"DOOM Eternal Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 532,000"
