Nama Game,Harga Game
Honkai: Star Rail,Free
RoboCop: Rogue City,Free
HOT WHEELS UNLEASHED™ 2 - Turbocharged,Free
WRC,Free
My Time at Sandrock,Free
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Sound Ultimate Edition PS4™ & PS5® (Game),Free
Digital Deluxe Upgrade (English),Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalogue
"Conan Exiles - 1,200 Crom Coins (English/Chinese/Korean Ver.)",Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalogue
"Conan Exiles - 2,640 Crom Coins (English/Chinese/Korean Ver.)","Rp 139,000"
"Conan Exiles - 5,040 Crom Coins (English/Chinese/Korean Ver.)","Rp 279,000"
"Conan Exiles - 7,800 Crom Coins (English/Chinese/Korean Ver.)","Rp 479,000"
Conan Exiles - Architects of Argos Pack (English/Chinese/Korean/Japanese Ver.),"Rp 699,000"
Conan Exiles – Blood and Sand Pack (English/Chinese/Korean/Japanese Ver.),"Rp 139,000"
Conan Exiles - Debaucheries of Derketo Pack (English/Chinese/Korean/Japanese Ver.),"Rp 139,000"
Conan Exiles: Isle of Siptah (English/Chinese/Korean/Japanese Ver.),"Rp 139,000"
Conan Exiles - Jewel of the West Pack (English/Chinese/Korean/Japanese Ver.),"Rp 279,000"
Conan Exiles - People of the Dragon Pack (English/Chinese/Korean Ver.),"Rp 139,000"
Conan Exiles - Riders of Hyboria Pack (English/Chinese/Korean/Japanese Ver.),"Rp 139,000"
Conan Exiles - Seekers of the Dawn Pack (English/Chinese/Korean/Japanese Ver.),"Rp 139,000"
Conan Exiles - The Imperial East Pack (English/Chinese/Korean/Japanese Ver.),"Rp 139,000"
Conan Exiles - The Riddle of Steel (English/Chinese/Korean/Japanese Ver.),"Rp 139,000"
Conan Exiles - The Savage Frontier Pack (English/Chinese/Korean/Japanese Ver.),"Rp 97,000"
Conan Exiles - Treasures of Turan Pack  (English/Chinese/Korean/Japanese Ver.),"Rp 139,000"
Conan Exiles - Year 1 DLC Bundle (English/Chinese/Korean/Japanese Ver.),"Rp 139,000"
Conan Exiles - Year 2 DLC Bundle (English/Chinese/Korean/Japanese Ver.),"Rp 429,000"
"Watch Dogs: Legion PS4 - 1,100 WD Credits (English/Chinese/Korean/Japanese Ver.)",Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalogue
"Watch Dogs: Legion PS4 - 2,500 WD Credits (English/Chinese/Korean/Japanese Ver.)",Save 85%
"Watch Dogs: Legion PS4 - 4,550 WD Credits (English/Chinese/Korean/Japanese Ver.)",Save 80%
Watch Dogs: Legion PS4 - 500 WD Credits Pack (English/Chinese/Korean/Japanese Ver.),"Rp 99,000"
"Watch Dogs: Legion PS4 - 7,250 WD Credits (English/Chinese/Korean/Japanese Ver.)","Rp 205,000"
Watch Dogs: Legion - Season Pass (English/Chinese/Korean/Japanese Ver.),"Rp 359,000"
Watch Dogs: Legion - Bloodline (English/Chinese/Korean/Japanese Ver.),Save 85%
The Forsaken - Challenge Map (Add-On),Save 85%
Watch Dogs: Legion - Golden King Pack (English/Chinese/Korean/Japanese Ver.),Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalogue
Watch Dogs: Legion - London Dissident Pack (English/Chinese/Korean/Japanese Ver.),Save 85%
Thief - Booster Pack: Ghost (Add-On),Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalogue
Thief - Booster Pack: Opportunist (Add-On),Save 85%
"Watch Dogs: Legion PS5 - 1,100 WD Credits (English/Chinese/Korean/Japanese Ver.)",Save 80%
"Watch Dogs: Legion PS5 - 2,500 WD Credits (English/Chinese/Korean/Japanese Ver.)","Rp 149,000"
Thief - Booster Pack: Predator (Add-On),"Rp 69,000"
Thief - Booster Packs Bundle (Add-On),"Rp 15,000"
"Watch Dogs: Legion PS5 - 4,550 WD Credits (English/Chinese/Korean/Japanese Ver.)","Rp 45,000"
Watch Dogs: Legion PS5 - 500 WD Credits Pack (English/Chinese/Korean/Japanese Ver.),"Rp 45,000"
Thief - The Bank Heist (Add-On),"Rp 15,000"
2022 AMA Pro Motocross Championship (English/Chinese/Korean/Japanese Ver.),Save 45%
"Watch Dogs: Legion PS5 - 7,250 WD Credits (English/Chinese/Korean/Japanese Ver.)","Rp 99,000"
Watch Dogs: Legion - Resistance Edition Pack (English/Chinese/Korean/Japanese Ver.),"Rp 205,000"
Watch Dogs: Legion - Season Pass (English/Chinese/Korean/Japanese Ver.),"Rp 359,000"
2023 AMA Pro Motocross Championship (English/Chinese/Korean/Japanese Ver.),Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalogue
MX vs ATV Legends 2022 Track Pass (English/Chinese/Korean/Japanese Ver.),Save 45%
Watch Dogs: Legion Ultimate Pack (English/Chinese/Korean/Japanese Ver.),"Rp 50,000"
MX vs ATV Legends - 2022 Yamaha Pack (English/Chinese/Korean/Japanese Ver.),Save 45%
MX vs ATV Legends 2023 Track Pass (English/Chinese/Korean/Japanese Ver.),"Rp 279,000"
MX vs ATV Legends - GASGAS Pack 2023 (English/Chinese/Korean/Japanese Ver.),"Rp 279,000"
MX vs ATV Legends - Honda Pack (English/Chinese/Korean/Japanese Ver.),"Rp 349,000"
MX vs ATV Legends - Husqvarna Pack (English/Chinese/Korean/Japanese Ver.),"Rp 111,000"
Cosplay Slayer Master Collection Cosmetic Pack (English/Chinese/Korean Ver.),Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalogue
MX vs ATV Legends - Kawasaki Pack (English/Chinese/Korean/Japanese Ver.),"Rp 349,000"
MX vs ATV Legends - KTM Pack (English/Chinese/Korean/Japanese Ver.),"Rp 74,000"
DOOM Eternal: Ancient Gods Part One - PS5 Upgrade (English/Chinese/Korean Ver.),Save 60%
DOOM Eternal Campaign - PS5 Upgrade (English/Chinese/Korean Ver.),Save 60%
MX vs ATV Legends - Polaris Pack (English/Chinese/Korean/Japanese Ver.),"Rp 99,000"
MX vs ATV Legends - Slayground (English/Chinese/Korean/Japanese Ver.),"Rp 69,000"
DOOM Eternal: Rip and Tear Pack (English/Chinese/Korean Ver.),"Rp 69,000"
DOOM Eternal: Series 1 Cosmetic Pack (English/Chinese/Korean Ver.),Unavailable
DOOM Eternal: Series 2 Cosmetic Pack (English/Chinese/Korean Ver.),Unavailable
MX vs ATV Legends - Suzuki Pack (English/Chinese/Korean/Japanese Ver.),"Rp 69,000"
MX vs ATV Legends - Throwback Tracks (English/Chinese/Korean/Japanese Ver.),"Rp 74,000"
DOOM Eternal: Series 3 Cosmetic Pack (English/Chinese/Korean Ver.),"Rp 34,500"
DOOM Eternal: Series 4 Cosmetic Pack (English/Chinese/Korean Ver.),"Rp 139,000"
Supercross World Tour 2022 (English/Chinese/Korean/Japanese Ver.),"Rp 37,000"
DOOM Eternal: The Ancient Gods - Part One (Add-On) (English/Chinese/Korean Ver.),"Rp 139,000"
DOOM Eternal: The Ancient Gods - Part Two (Add-On) (English/Chinese/Korean Ver.),"Rp 139,000"
DOOM Eternal: Year One Pass (Add-On) (Add-On),"Rp 139,000"
DOOMicorn Master Collection Cosmetic Pack (English/Chinese/Korean Ver.),"Rp 111,600"
Mullet Slayer Master Collection Cosmetic Pack (English/Chinese/Korean Ver.),"Rp 111,600"
The Ancient Gods Part Two - PS5 Upgrade (English/Chinese/Korean Ver.),"Rp 429,000"
Horizon Forbidden West™: Burning Shores (English/Chinese/Korean Ver.),Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalogue
Badass Santa Bundle  (English/Chinese/Korean Ver.),Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalogue
Clot Backpack Bundle (English/Chinese/Korean Ver.),"Rp 139,000"
D.A.R. Assault Bundle  (English/Chinese/Korean Ver.),"Rp 69,000"
Dragon & Koi Complete Weapon Skin Set (English/Chinese/Korean Ver.),"Rp 69,000"
Dragon & Koi Tier 1 Weapon Skin Bundle (English/Chinese/Korean Ver.),"Rp 279,000"
Dragon & Koi Tier 4 Weapon Skin Bundle (English/Chinese/Korean Ver.),"Rp 86,000"
Foster's Favorites Weapon Skin Pack (English/Chinese/Korean Ver.),"Rp 86,000"
Gravity Imploder Weapon Bundle (English/Chinese/Korean Ver.),"Rp 86,000"
Hazmat Suit Bundle (English/Chinese/Korean Ver.),"Rp 139,000"
Headshot FX Bundle 1  (English/Chinese/Korean Ver.),"Rp 69,000"
Headshot FX Bundle 2  (English/Chinese/Korean Ver.),"Rp 99,000"
Horzine Mark 7 Suit Bundle (English/Chinese/Korean Ver.),"Rp 114,000"
Horzine Supply Cosmetic Crate - Series 6 Bronze Bundle Pack (English/Chinese/Korean Ver.),"Rp 69,000"
Horzine Supply Cosmetic Crate - Series 8 Bronze Bundle Pack (English/Chinese/Korean Ver.),"Rp 139,000"
Horzine Supply Weapon Crate - Series 16 Gold Bundle Pack (English/Chinese/Korean Ver.),"Rp 139,000"
Horzine Supply Weapon Crate - Series 17 Silver Bundle Pack (English/Chinese/Korean Ver.),"Rp 429,000"
Horzine Supply Weapon Crate - Series 5 Silver Bundle Pack (English/Chinese/Korean Ver.),"Rp 279,000"
Horzine Supply Weapon Crate - Series 7 Bronze Bundle Pack (English/Chinese/Korean Ver.),"Rp 279,000"
Horzine Supply Weapon Crate - Series 8 Bronze Bundle Pack (English/Chinese/Korean Ver.),"Rp 139,000"
KF2 Season Pass 2021 (English/Chinese/Korean Ver.),"Rp 139,000"
Killing Floor 2 - Alchemist Gear Cosmetic Bundle Pack (English/Chinese/Korean Ver.),"Rp 429,000"
Killing Floor 2 - Alchemist Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 138,000"
Killing Floor 2 - Apocalypse Gear Cosmetic Bundle (English/Chinese/Korean Ver.),"Rp 114,000"
Killing Floor 2 - Armory Season Pass 2 (English/Chinese/Korean Ver.),"Rp 114,000"
Lonely Mountains: Downhill - Eldfjall Island (English/Chinese/Korean/Japanese Ver.),Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalogue
Killing Floor 2  - Beyond Horizon MKII Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 279,000"
Killing Floor 2 - Blood & Bonfires Weapon Bundle (English/Chinese/Korean Ver.),"Rp 114,000"
Killing Floor 2 - Blood Sickle Weapon Bundle (English/Chinese/Korean Ver.),"Rp 199,000"
Lonely Mountains: Downhill - Misty Peak (English/Chinese/Korean Ver.),"Rp 139,000"
Lonely Mountains: Downhill - Redmoor Falls (English/Chinese/Korean Ver.),Free
Deus Ex: Mankind Divided - 10000 Credits Pack (English Ver.),Save 85%
Killing Floor 2 - Blunderbuss Weapon Bundle (English/Chinese/Korean Ver.),"Rp 139,000"
Killing Floor 2 - Cardboard Knight Uniform Bundle (English/Chinese/Korean Ver.),"Rp 139,000"
Lonely Mountains: Downhill - Riley's Return (English/Chinese/Korean Ver.),Free
Lonely Mountains: Downhill - Rivera's Revenge (English/Chinese/Korean Ver.),Free
Deus Ex: Mankind Divided - 1000 Credits Pack (Virtual Currency),Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalogue
Deus Ex: Mankind Divided - 100 Breach Chipsets (Add-On),Save 85%
Deus Ex: Mankind Divided - 10 Breach Chipsets (Add-On),"Rp 139,000"
Killing Floor 2 - Chameleon MKIII Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 69,000"
Killing Floor 2  - Chameleon MKII Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 69,000"
Deus Ex: Mankind Divided - 10 Praxis Kit Pack (Add-On),"Rp 13,000"
Deus Ex: Mankind Divided - 15000 Credits Pack (English Ver.),"Rp 100,000"
Killing Floor2 - Chameleon MKIV Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 69,000"
Killing Floor 2  - Chameleon Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 69,000"
Deus Ex: Mankind Divided - 1 Praxis Kit Pack (Add-On),"Rp 13,000"
Deus Ex: Mankind Divided - 5000 Credits Pack (English Ver.),"Rp 93,000"
Killing Floor 2  - Chemical Warrior Gear Cosmetic Bundle (English/Chinese/Korean Ver.),"Rp 69,000"
Killing Floor 2  - Chop Til' You Drop Full Gear Bundle (English/Chinese/Korean Ver.),"Rp 69,000"
Deus Ex: Mankind Divided - 500 Breach Chipsets (Add-On),"Rp 133,000"
Deus Ex: Mankind Divided - 50 Breach Chipsets (Add-On),"Rp 13,000"
Killing Floor 2 - Christmas 2020 Full Gear Bundle (English/Chinese/Korean Ver.),"Rp 199,000"
Killing Floor 2  - Christmas Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 199,000"
Deus Ex: Mankind Divided -  A Criminal Past (Add-On),"Rp 60,000"
Deus Ex: Mankind Divided - Assault Pack (Add-On),"Rp 399,000"
Killing Floor 2  - Classic MKII Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 114,000"
Killing Floor 2  - Classic Weapon Skin Bundle Pack (English/Chinese/Korean Ver.),"Rp 69,000"
Deus Ex: Mankind Divided - Season Pass (Add-On),"Rp 60,000"
Deus Ex: Mankind Divided -  System Rift (Add-On),"Rp 147,000"
Killing Floor 2 - Commando Chicken Bundle (English/Chinese/Korean Ver.),"Rp 69,000"
Killing Floor 2 - Compound Bow (English/Chinese/Korean Ver.),"Rp 69,000"
Deus Ex: Mankind Divided - Tactical Pack (Add-On),"Rp 66,000"
Killing Floor 2 - Corrupter Carbine Weapon Bundle (English/Chinese/Korean Ver.),"Rp 139,000"
Killing Floor 2  - Cosmetics Season Pass (English/Chinese/Korean Ver.),"Rp 139,000"
Killing Floor 2 - Cyberpunk Outfit Bundle (English/Chinese/Korean Ver.),"Rp 429,000"
Killing Floor 2 - Day of the Zed Character Outfit Set (English/Chinese/Korean Ver.),"Rp 69,000"
Killing Floor 2  - Day of the Zed Full Gear Bundle (English/Chinese/Korean Ver.),"Rp 69,000"
Killing Floor 2 - Day of the Zed Weapon Bundle (English/Chinese/Korean Ver.),"Rp 199,000"
Killing Floor 2 - Deep Sea Explorer Outfit Bundle (English/Chinese/Korean Ver.),"Rp 199,000"
"Grand Theft Auto: The Trilogy – The Definitive Edition (PS5 & PS4) (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 829,000"
GTA+ (PlayStation®5) (English/Chinese/Korean Ver.),"Rp 85,000"
GTA+: Megalodon Shark Cash Card (PS5™) (English/Chinese/Korean Ver.),"Rp 1,141,000"
GTA+: Whale Shark Cash Card (PS5™) (English/Chinese/Korean Ver.),"Rp 515,000"
GTA+: Great White Shark Cash Card (PS5™) (English/Chinese/Korean Ver.),"Rp 206,000"
GTA+: Bull Shark Cash Card (PS5™) (English/Chinese/Korean Ver.),"Rp 103,000"
GTA+: Tiger Shark Cash Card (PS5™) (English/Chinese/Korean Ver.),"Rp 52,000"
"Dead Space (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 1,009,000"
"Need for Speed™ Unbound (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 1,009,000"
NHL® 23 PS4™ (English),"Rp 849,000"
NHL® 23 PS5™ (English),"Rp 1,009,000"
"F1® 22  PS5™ (Simplified Chinese, English, Japanese)","Rp 1,009,000"
Madden NFL 23 PS4™ (English),"Rp 849,000"
Madden NFL 23 PS5™ (English),"Rp 1,009,000"
"Battlefield™ 2042 PS4™ (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 849,000"
"Battlefield™ 2042 PS5™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 1,009,000"
EA Play 1 Month Discount Offer,"Rp 15,000"
"GRID Legends PS4 & PS5 (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 169,800"
WRC (English),"Rp 709,000"
"HITMAN World of Assassination (Simplified Chinese, English, Traditional Chinese)","Rp 399,600"
"UFC® 5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 1,009,000"
"UFC® 5 Deluxe Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 1,409,000"
"HITMAN World of Assassination (Simplified Chinese, English, Traditional Chinese)","Rp 399,600"
HITMAN World of Assassination Deluxe Pack (Add-On),"Rp 300,300"
NHL® 24 PS5™ (English),"Rp 1,009,000"
HITMAN 3 - Makeshift Pack (English/Chinese Ver.),"Rp 48,300"
Sarajevo Six Campaign Pack (English/Chinese Ver.),"Rp 48,300"
NHL® 24 PS4™ (English),"Rp 849,000"
NHL® 24 X-Factor Edition PS5™ & PS4™ (English),"Rp 1,409,000"
HITMAN 3 - Street Art Pack (English/Chinese Ver.),"Rp 48,300"
Trinity Pack (English/Chinese Ver.),"Rp 48,300"
"Wo Long: Fallen Dynasty (PS4 & PS5) (Simplified Chinese, English, Traditional Chinese)","Rp 582,900"
"EA SPORTS FC™ 24 Standard Edition PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 1,009,000"
"EA SPORTS FC™ 24 Ultimate Edition PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 1,409,000"
"Wo Long: Fallen Dynasty Digital Deluxe Edition (PS4 & PS5) (Simplified Chinese, English, Traditional Chinese)","Rp 872,340"
Wo Long: Fallen Dynasty Season Pass (Add-On),"Rp 324,000"
"Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles PS4＆PS5 (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 399,500"
Madden NFL 24 (English),"Rp 1,009,000"
"F1® 23 (Simplified Chinese, English, Japanese)","Rp 1,009,000"
"F1® 23 Champions Edition (Simplified Chinese, English, Japanese)","Rp 507,600"
